	PyCIFRW	STAR	ase	cif2cif	cif_linguist	ciftools-java	cifxom	codtools	codtools-fix	crystcif-parse	gemmi	open-babel	pymatgen	vcif	zinc
Merkys2016/dos-ctrl-z.cif			ERROR	ERROR		ERROR		ERROR	WARNING		ERROR		WARNING	ERROR	ERROR
Merkys2016/duplicate-tags-different-cases.cif	ERROR			WARNING	ERROR			ERROR	ERROR		ERROR				
Merkys2016/duplicate-tags-different-values.cif	ERROR			WARNING	ERROR			ERROR	ERROR		ERROR			ERROR	
Merkys2016/duplicate-tags-same-values.cif	ERROR			WARNING	ERROR			ERROR	WARNING		ERROR			ERROR	
Merkys2016/empty-datablock.cif														WARNING	ERROR
Merkys2016/empty-file.cif						ERROR	ERROR							WARNING	
Merkys2016/long-line.cif				WARNING	ERROR		ERROR	WARNING						WARNING	
Merkys2016/loop-without-tags.cif		--	WARNING	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR		ERROR	ERROR	ERROR
Merkys2016/loop-without-values.cif		--	WARNING WARNING	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR		ERROR	ERROR	ERROR
Merkys2016/missing-closing-quote.cif	ERROR	WARNING		WARNING	ERROR		ERROR	ERROR	WARNING		ERROR		WARNING	ERROR	
Merkys2016/missing-data-header.cif	ERROR		ERROR	WARNING	ERROR		ERROR	ERROR	WARNING		ERROR			ERROR	
Merkys2016/non-ascii.cif					ERROR			ERROR	WARNING					WARNING	
Merkys2016/null-symbol.cif					ERROR		ERROR	ERROR	ERROR		ERROR			WARNING	
Merkys2016/single-quote-in-value.cif															
Merkys2016/stray-values-at-start.cif	ERROR		ERROR		ERROR	ERROR	ERROR	ERROR	WARNING		ERROR			ERROR	ERROR
Merkys2016/tag-immediately-following-textfield.cif				ERROR	ERROR			ERROR	ERROR		ERROR			ERROR	
Merkys2016/textfield-no-closing-semicolon.cif	ERROR	ERROR	ERROR		ERROR		ERROR	ERROR	ERROR		ERROR			ERROR	--
Merkys2016/value-immediately-following-textfield.cif					ERROR			ERROR	ERROR		ERROR				
Merkys2016/value-starting-with-bracket.cif	WARNING				ERROR			ERROR							
Merkys2016/value-starting-with-dollar.cif	ERROR				ERROR			ERROR	ERROR		ERROR				
Merkys2016/wrong-number-of-loop-values.cif	ERROR	ERROR	WARNING	ERROR	ERROR		ERROR	ERROR	ERROR	ERROR	ERROR			ERROR	
ciftest1/ciftest0						ERROR	ERROR							WARNING	
ciftest1/ciftest1							ERROR							WARNING	
ciftest1/ciftest10	ERROR	ERROR	WARNING	ERROR	ERROR		ERROR	ERROR	ERROR	ERROR	ERROR		ERROR	ERROR	
ciftest1/ciftest11					ERROR										
ciftest1/ciftest2														WARNING	ERROR
ciftest1/ciftest3															
ciftest1/ciftest4			WARNING												
ciftest1/ciftest5	ERROR		WARNING WARNING WARNING ERROR		ERROR		ERROR	ERROR	ERROR	ERROR	ERROR		WARNING		
ciftest1/ciftest6	ERROR		ERROR	WARNING	ERROR		ERROR	ERROR	WARNING		ERROR			ERROR	
ciftest1/ciftest7	ERROR	WARNING		ERROR	ERROR	ERROR	ERROR	ERROR	WARNING		ERROR		WARNING	ERROR	ERROR
ciftest1/ciftest8	ERROR		WARNING	WARNING				WARNING						WARNING	
ciftest1/ciftest9	ERROR	ERROR	WARNING WARNING	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR		ERROR	ERROR	ERROR
local/_refine_ls_extinction_expression.cif					ERROR										
local/ascii-127.cif					ERROR		ERROR	ERROR	WARNING		ERROR			WARNING	
local/byte-order-mark.cif			ERROR		ERROR	ERROR	ERROR				ERROR			ERROR	ERROR
local/closing-bracket.cif	WARNING				ERROR			ERROR							
local/comment-only.cif							ERROR							WARNING	
local/empty-datablock-name.cif	ERROR				ERROR		ERROR	ERROR	WARNING					ERROR	
local/form-feed.cif	ERROR		ERROR	ERROR	ERROR		ERROR	ERROR	ERROR	ERROR	ERROR				
local/global.cif	ERROR			ERROR	ERROR		ERROR	ERROR	ERROR		ERROR				ERROR
local/non-ascii-in-comment.cif					ERROR			WARNING	WARNING						
local/textfield-in-loop.cif			WARNING												
local/unquoted-loop-prefix.cif		ERROR		ERROR		ERROR				ERROR	ERROR				ERROR
local/value-starting-with-closing-bracket.cif	WARNING				ERROR			ERROR							
local/vertical-tab.cif	ERROR		ERROR	ERROR	ERROR		ERROR	ERROR	ERROR	ERROR	ERROR				
local/whitespace-placement.cif			WARNING ERROR												
